STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
33,11,1300,"Amherst town, Hillsborough County, New Hampshire",11753,34.357523490094046,342.0793702837349,New Hampshire,42.8642672,-71.6251796,10,3420.793702837349,9,2,88.98564226410868,0.10113991168696712,D
33,1,77060,"Tilton town, Belknap County, New Hampshire",3962,11.919331997176016,332.4011782655853,New Hampshire,43.4409284,-71.5954452,16,5318.418852249365,14,2,30.870950679365908,0.45350077311864506,D
50,7,84475,"Williston town, Chittenden County, Vermont",10103,30.932865345429907,326.61054471284666,Vermont,44.4733966,-73.0425785,1,326.61054471284666,1,0,80.11581191601,0.012481930546349045,D
33,13,60020,"Pembroke town, Merrimack County, New Hampshire",7207,22.768564070517098,316.5329169498356,New Hampshire,43.150433,-71.4601052,10,3165.3291694983564,9,2,58.97035325699857,0.1526190620018354,D
33,15,54580,"North Hampton town, Rockingham County, New Hampshire",4538,14.360071058455388,316.01514933507025,New Hampshire,42.98454,-71.08897,5,1580.0757466753512,4,1,37.19244044068887,0.1075487371251918,D
33,15,31700,"Greenland town, Rockingham County, New Hampshire",4067,13.29696797008712,305.85920107118625,New Hampshire,43.0361597,-70.8382083,3,917.5776032135587,3,1,34.439014072845936,0.08711050768336032,D
50,7,14875,"Colchester town, Chittenden County, Vermont",17524,58.32421116036764,300.45841429069986,Vermont,44.534084,-73.1846098,4,1201.8336571627995,4,1,151.05912366324057,0.026479698167171207,D
33,13,27380,"Franklin city, Merrimack County, New Hampshire",8741,29.11434852946497,300.22997049560405,New Hampshire,43.444734,-71.6470485,12,3602.759645947249,11,2,75.40587154782897,0.1458772344143366,D
33,15,40100,"Kingston town, Rockingham County, New Hampshire",6202,20.998424187744227,295.35549641957465,New Hampshire,42.9569056,-71.0889443,13,3839.6214534544706,12,2,54.38570866201567,0.22064620090867915,D
33,19,12900,"Claremont city, Sullivan County, New Hampshire",12949,43.968846068846325,294.5039762864025,New Hampshire,43.3723939,-72.3369492,17,5006.567596868843,15,2,113.87887162985129,0.13171890259639718,D
